彩云;王夫人;15.0
尤三姐;贾琏;15.0
尤二姐;尤氏;15.0
王济仁;贾宝玉;15.0
尤氏;薛宝琴;15.0
贾探春;贾环;15.0
佩凤;尤氏;15.0
尤氏;林黛玉;15.0
小红;薛宝钗;15.0
周瑞;李纨;15.0
李嬷嬷;袭人;15.0
林黛玉;贾珍;15.0
薛宝钗;邢夫人;15.0
贾琏;贾芸;15.0
周瑞家的;贾宝玉;15.0
周瑞家的;薛宝钗;15.0
尤二姐;秋桐;15.0
周瑞;薛宝钗;15.0
张华;贾蓉;15.0
尤氏;贾赦;15.0
冯紫英;贾宝玉;15.0
李嬷嬷;林黛玉;15.0
王夫人;薛蟠;15.0
贾敬;贾蓉;15.0
薛姨妈;贾探春;15.0
袭人;贾环;15.0
李纨;邢岫烟;15.0
周瑞;林黛玉;15.0
林之孝家的;贾宝玉;15.0
周瑞家的;李纨;14.0
周瑞家的;林黛玉;14.0
贾宝玉;龄官;14.0
史太君;李嬷嬷;14.0
袭人;贾政;14.0
贾宝玉;贾蔷;14.0
林黛玉;贾赦;14.0
薛宝钗;贾珍;14.0
邢夫人;邢岫烟;14.0
蕊官;藕官;14.0
贾蔷;龄官;14.0
王熙凤;香菱;14.0
周瑞;板儿;14.0
刘姥姥;薛宝钗;14.0
李纨;林之孝家的;14.0
彩霞;王夫人;13.0
贾蓉;贾蓉之妻;13.0
四儿;晴雯;13.0
玉钏;王夫人;13.0
林黛玉;琥珀;13.0
春燕;晴雯;13.0
史太君;文官;13.0
平儿;麝月;13.0
林黛玉;芳官;13.0
茜雪;贾宝玉;13.0
薛宝钗;金钏;13.0
司棋;贾宝玉;13.0
平儿;林之孝;13.0
尤老娘;贾琏;13.0
王夫人;紫鹃;13.0
林黛玉;贾环;13.0
坠儿;晴雯;13.0
李纨;贾琏;13.0
茗烟;袭人;13.0
芳官;蕊官;13.0
翠墨;贾宝玉;13.0
平儿;林之孝家的;13.0
兴儿;平儿;13.0
薛宝琴;香菱;13.0
张华;来旺;13.0
翠缕;贾宝玉;13.0
史太君;贾芸;13.0
平儿;贾赦;13.0
王夫人;薛宝琴;13.0
四儿;麝月;13.0
李纨;贾蓉;13.0
秦可卿;秦钟;13.0
冯紫英;薛蟠;13.0
贾瑞;贾蔷;13.0
丰儿;平儿;13.0
贾探春;邢夫人;13.0
云儿;薛蟠;13.0
李纨;贾政;12.0
史太君;妙玉;12.0
四儿;芳官;12.0
小红;袭人;12.0
张道士;贾宝玉;12.0
司棋;王熙凤;12.0
兴儿;来旺;12.0
尤氏;袭人;12.0
尤氏;林之孝;12.0
贾探春;贾政;12.0
周瑞家的;板儿;12.0
史湘云;琥珀;12.0
柳湘莲;薛蟠;12.0
夏金桂;薛姨妈;12.0
林黛玉;贾元春;12.0
贾政;贾迎春;12.0
平儿;薛姨妈;12.0
王夫人;赖大;12.0
薛宝钗;赵姨娘;12.0
坠儿;贾芸;12.0
云儿;贾宝玉;12.0
薛姨妈;贾琏;12.0
贾政;邢夫人;12.0
李贵;茗烟;12.0
柳家的;贾宝玉;12.0
史太君;邢岫烟;12.0
王熙凤;金钏;12.0
平儿;玉钏;12.0
秦钟;茗烟;12.0
玉钏;王熙凤;12.0
薛蟠;袭人;12.0
王夫人;芳官;12.0
袭人;金钏;12.0
彩霞;王熙凤;12.0
贾敬;贾珍;12.0
史太君;芳官;12.0
平儿;莺儿;12.0
小红;李纨;12.0
柳五儿;贾宝玉;11.0
薛宝琴;袭人;11.0
史太君;莺儿;11.0
贾蓉;贾蔷;11.0
尤氏;秦钟;11.0
彩霞;贾宝玉;11.0
王熙凤;麝月;11.0
史太君;赖大的母亲;11.0
尤二姐;贾珍;11.0
平儿;赵姨娘;11.0
平儿;琥珀;11.0
史太君;贾敬;11.0
平儿;薛宝琴;11.0
佳蕙;小红;11.0
兴儿;尤二姐;11.0
蒋玉菡;薛蟠;11.0
贾宝玉;贾雨村;11.0
袭人;贾赦;11.0
刘姥姥;史湘云;11.0
史太君;茗烟;11.0
司棋;晴雯;11.0
史湘云;紫鹃;11.0
入画;王熙凤;11.0
茜雪;袭人;11.0
薛蟠;邢夫人;11.0
李纨;李绮;11.0
薛宝钗;贾琏;11.0
周瑞;袭人;11.0
丰儿;史太君;11.0
史太君;玉钏;11.0
薛姨妈;贾惜春;11.0
袭人;贾芸;11.0
平儿;贾迎春;11.0
王善保家的;贾宝玉;11.0
史太君;王济仁;10.0
李纨;贾赦;10.0
周瑞;贾迎春;10.0
史太君;来旺;10.0
林黛玉;贾芸;10.0
尤二姐;贾蓉;10.0
彩云;赵姨娘;10.0
李纨;贾兰;10.0
女先儿;王熙凤;10.0
平儿;贾蓉;10.0
贾政;赵姨娘;10.0
贾迎春;香菱;10.0
王夫人;香菱;10.0
周瑞家的;袭人;10.0
贾环;贾琏;10.0
袭人;邢夫人;10.0
贾琏;鲍二家的;10.0
水溶;贾政;10.0
李纨;琥珀;10.0
史太君;贾蓉之妻;10.0
李纹;李绮;10.0
莺儿;薛姨妈;10.0
晴雯;贾探春;10.0
芳官;贾探春;10.0
史太君;女先儿;10.0
秦钟;贾珍;10.0
俞禄;贾珍;10.0
尤氏;林之孝家的;10.0
薛宝钗;贾雨村;10.0
王夫人;王子腾;10.0
史太君;小红;10.0
玉钏;莺儿;10.0
紫鹃;薛姨妈;10.0
史湘云;贾环;10.0
尤氏;贾蓉之妻;10.0
周瑞家的;贾迎春;10.0
赖大;邢夫人;10.0
平儿;彩云;10.0
花自芳;袭人;10.0
李纨;李纹;10.0
史太君;水溶;10.0
薛宝琴;鸳鸯;10.0
薛姨妈;薛宝琴;10.0
贾迎春;鸳鸯;10.0
芳官;薛宝钗;10.0
李贵;秦钟;10.0
周瑞;香菱;10.0
林黛玉;薛蟠;10.0
林黛玉;赵姨娘;10.0
贾敬;贾赦;9.0
莺儿;贾环;9.0
